Attack metrics report
Dataset: taiwan_bankruptcy
Attack: deepfool
alpha=0.05, maxiters=500

Correctly-classified originals: 2998/3410
Successfully attacked (among correct): 2998/2998
ASR (among correct): 1.0000

Changed samples among correct (any feature changed): 2998/2998
Max |delta| among correct: 0.256399

Changed samples among successful attacks: 2998/2998
Max |delta| among successful attacks: 0.256399

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.0097421 median=0.00807963 min=0.00260483 max=0.0467107
  RMSE : mean=0.0144448 median=0.0119007 min=0.00392175 max=0.071829
  L1   : mean=0.915757 median=0.759485 min=0.244854 max=4.39081
  L2   : mean=0.140048 median=0.115381 min=0.0380228 max=0.696408
  Linf : mean=0.0526092 median=0.0436454 min=0.0136298 max=0.256399

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.326241 adv_mean=0.327411 mean|diff|=0.00117013 max|diff|=0.0101563
  RMSE : orig_mean=0.450105 adv_mean=0.449441 mean|diff|=0.000665874 max|diff|=0.0077486
  L1   : orig_mean=30.6666 adv_mean=30.7766 mean|diff|=0.109992 max|diff|=0.954695
  L2   : orig_mean=4.36393 adv_mean=4.35749 mean|diff|=0.00645589 max|diff|=0.0751257
  Linf : orig_mean=0.999071 adv_mean=0.999813 mean|diff|=0.0010306 max|diff|=0.0331264

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.326241 adv_mean=0.327411 mean|diff|=0.00117013 max|diff|=0.0101563
  RMSE : orig_mean=0.450105 adv_mean=0.449441 mean|diff|=0.000665874 max|diff|=0.0077486
  L1   : orig_mean=30.6666 adv_mean=30.7766 mean|diff|=0.109992 max|diff|=0.954695
  L2   : orig_mean=4.36393 adv_mean=4.35749 mean|diff|=0.00645589 max|diff|=0.0751257
  Linf : orig_mean=0.999071 adv_mean=0.999813 mean|diff|=0.0010306 max|diff|=0.0331264

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
104,1,1,0.00797225,0.011888,0.749392,0.115259,0.0434324
105,1,1,0.0133401,0.0197749,1.25397,0.191724,0.0722379
106,1,1,0.010645,0.0158495,1.00063,0.153667,0.0578372
107,1,1,0.00811188,0.0119343,0.762516,0.115707,0.0437275
108,1,1,0.0282081,0.0427783,2.65156,0.414751,0.157865
109,1,1,0.00260483,0.00396019,0.244854,0.0383954,0.0136927
110,1,1,0.00800892,0.011839,0.752839,0.114783,0.0430506
111,1,1,0.00542569,0.00794856,0.510014,0.0770642,0.0291062
112,1,1,0.0184835,0.0274053,1.73745,0.265704,0.101575
113,1,1,0.00268853,0.00397027,0.252722,0.0384932,0.0144775
114,1,1,0.00785004,0.0118498,0.737904,0.114888,0.0426513
115,1,1,0.00547629,0.00791964,0.514771,0.0767838,0.0292024
116,1,1,0.00270105,0.00397451,0.253899,0.0385343,0.0144775
117,1,1,0.0355769,0.0541004,3.34422,0.524523,0.201677
119,1,1,0.00526544,0.00789514,0.494951,0.0765462,0.0280231
120,1,1,0.0052852,0.00785986,0.496809,0.0762042,0.0282586
121,1,1,0.00539877,0.00794903,0.507484,0.0770687,0.0291634
122,1,1,0.00541232,0.00796029,0.508758,0.0771778,0.0292758
123,1,1,0.00539301,0.00794331,0.506943,0.0770133,0.0290592
124,1,1,0.00799053,0.0118761,0.75111,0.115143,0.0429556
125,1,1,0.0053249,0.00789746,0.50054,0.0765687,0.0286846
126,1,1,0.0104939,0.0157604,0.986428,0.152803,0.0577596
127,1,1,0.0104573,0.0158359,0.982988,0.153535,0.0576493
128,1,1,0.021024,0.0312839,1.97625,0.303309,0.115871
129,1,1,0.0133133,0.0197774,1.25145,0.191749,0.0723641
130,1,1,0.00273202,0.00396242,0.25681,0.0384171,0.0146012
131,1,1,0.00802705,0.0118553,0.754543,0.114942,0.043207
132,1,1,0.00530309,0.00787858,0.49849,0.0763857,0.0282113
133,1,1,0.00350998,0.00490732,0.329938,0.0475782,0.0148955
134,1,1,0.0107101,0.0158837,1.00675,0.153999,0.0582796
135,1,1,0.01354,0.0197827,1.27276,0.1918,0.0730413
136,1,1,0.0102678,0.0146077,0.965176,0.141626,0.0438484
137,1,1,0.00794224,0.0118155,0.746571,0.114555,0.0423169
139,1,1,0.00817051,0.0118603,0.768028,0.11499,0.043921
140,1,1,0.00273707,0.00396336,0.257285,0.0384262,0.0146012
141,1,1,0.0208242,0.0310123,1.95748,0.300676,0.116001
142,1,1,0.00529041,0.00788972,0.497299,0.0764936,0.0288697
143,1,1,0.0107053,0.0157994,1.0063,0.153181,0.05831
144,1,1,0.00269025,0.00396938,0.252883,0.0384846,0.0146885
145,1,1,0.00804587,0.0118666,0.756312,0.115051,0.043483
146,1,1,0.0108222,0.0158108,1.01728,0.153291,0.0585222
147,1,1,0.0106334,0.0158493,0.999535,0.153665,0.0578593
148,1,1,0.0157547,0.0235304,1.48094,0.228136,0.0868207
149,1,1,0.00266575,0.00393893,0.25058,0.0381893,0.0142082
150,1,1,0.00789479,0.0118296,0.74211,0.114692,0.0430621
151,1,1,0.0133165,0.0197731,1.25175,0.191708,0.0722728
152,1,1,0.00528585,0.00786896,0.496869,0.0762924,0.0285031
154,1,1,0.0027075,0.00397587,0.254505,0.0385475,0.0144775
155,1,1,0.00536256,0.00789982,0.50408,0.0765916,0.0290563
156,1,1,0.0108815,0.0158263,1.02286,0.153442,0.0583754
157,1,1,0.00537321,0.00791278,0.505081,0.0767173,0.0288959
158,1,1,0.00522284,0.00793759,0.490947,0.0769578,0.0289057
159,1,1,0.0132815,0.0196438,1.24846,0.190454,0.0725625
160,1,1,0.023377,0.0348435,2.19744,0.33782,0.130592
161,1,1,0.010556,0.0157579,0.992265,0.152779,0.0567238
162,1,1,0.0132424,0.0195563,1.24479,0.189605,0.0727817
163,1,1,0.0183787,0.0272914,1.7276,0.2646,0.101581
164,1,1,0.00801242,0.0118916,0.753167,0.115294,0.0434324
165,1,1,0.00347415,0.00491609,0.32657,0.0476632,0.0144325
166,1,1,0.00270082,0.00397465,0.253877,0.0385357,0.0144775
167,1,1,0.00532591,0.00789779,0.500635,0.0765719,0.0286846
168,1,1,0.0239212,0.0361114,2.24859,0.350113,0.128708
169,1,1,0.00542718,0.00796239,0.510155,0.0771982,0.0292037
170,1,1,0.0156809,0.0235264,1.47401,0.228097,0.0867103
171,1,1,0.0110464,0.0164371,1.03837,0.159363,0.0574084
172,1,1,0.00824574,0.011916,0.7751,0.11553,0.0442858
173,1,1,0.0132411,0.0195902,1.24466,0.189934,0.0726356
174,1,1,0.00278891,0.00420348,0.262157,0.0407542,0.0145172
175,1,1,0.0244396,0.036122,2.29733,0.350216,0.130182
176,1,1,0.0133691,0.0196933,1.25669,0.190934,0.07281
178,1,1,0.00816601,0.0119344,0.767605,0.115709,0.0434091
179,1,1,0.00795834,0.0118768,0.748084,0.11515,0.0432735
181,1,1,0.00795222,0.0118153,0.747509,0.114553,0.0430981
183,1,1,0.00533954,0.00791996,0.501917,0.0767868,0.0286371
184,1,1,0.0105602,0.015772,0.992658,0.152915,0.0570401
185,1,1,0.00351312,0.00491574,0.330233,0.0476599,0.0148617
186,1,1,0.00524266,0.00793067,0.49281,0.0768907,0.0286833
187,1,1,0.00538297,0.00793618,0.506,0.0769442,0.0291697
188,1,1,0.0105523,0.0157498,0.991921,0.1527,0.0564225
189,1,1,0.00274481,0.0039644,0.258012,0.0384363,0.0146012
190,1,1,0.00523505,0.00793868,0.492095,0.0769683,0.0289057
191,1,1,0.0133453,0.0196082,1.25445,0.190109,0.0729231
192,1,1,0.00529294,0.00791554,0.497536,0.076744,0.028796
193,1,1,0.00533861,0.00792872,0.501829,0.0768718,0.0289549
194,1,1,0.00786243,0.0119025,0.739068,0.115399,0.0432474
195,1,1,0.0159364,0.0236602,1.49802,0.229394,0.0865532
197,1,1,0.00276667,0.00397941,0.260067,0.0385818,0.0147197
198,1,1,0.00802125,0.0117907,0.753998,0.114315,0.0426402
199,1,1,0.00536767,0.0079376,0.504561,0.0769579,0.0289549
200,1,1,0.0157746,0.0234203,1.48282,0.227068,0.0871134
201,1,1,0.0149523,0.0232109,1.40551,0.225038,0.0864337
202,1,1,0.00539285,0.00792847,0.506928,0.0768694,0.0292197
203,1,1,0.012991,0.0194492,1.22115,0.188567,0.0704632
204,1,1,0.00701074,0.00978605,0.65901,0.0948792,0.0292925
205,1,1,0.00804407,0.011773,0.756143,0.114143,0.0424796
206,1,1,0.00793494,0.0117766,0.745884,0.114179,0.0421152
207,1,1,0.00549301,0.00792453,0.516343,0.0768312,0.02931
208,1,1,0.0114199,0.0168481,1.07347,0.163349,0.058173
209,1,1,0.0105689,0.0156677,0.993479,0.151904,0.0569752
210,1,1,0.0106675,0.0157831,1.00275,0.153023,0.0581353
211,1,1,0.0106342,0.0158302,0.999611,0.15348,0.0572708
213,1,1,0.0191146,0.0282167,1.79677,0.273571,0.101544
214,1,1,0.0104232,0.0158351,0.979778,0.153527,0.0577837
215,1,1,0.00533985,0.00792936,0.501945,0.076878,0.0289549
216,1,1,0.00267353,0.00392573,0.251312,0.0380614,0.0141403
217,1,1,0.00797344,0.0118842,0.749503,0.115221,0.0436059
218,1,1,0.00269063,0.0039716,0.252919,0.0385061,0.0144775
219,1,1,0.0133494,0.0197816,1.25484,0.19179,0.0723564
220,1,1,0.00803285,0.011846,0.755087,0.114851,0.0435844
221,1,1,0.00526617,0.00785877,0.49502,0.0761936,0.0283088
222,1,1,0.021707,0.0321467,2.04046,0.311674,0.115981
223,1,1,0.00802848,0.0119024,0.754677,0.115398,0.043829
224,1,1,0.00537748,0.00790046,0.505484,0.0765978,0.0290563
225,1,1,0.00822673,0.0119038,0.773313,0.115411,0.0440405
226,1,1,0.0027381,0.00396401,0.257382,0.0384325,0.0146012
227,1,1,0.00528466,0.00786382,0.496758,0.0762426,0.0283808
228,1,1,0.010442,0.0146394,0.98155,0.141935,0.0445448
229,1,1,0.00273245,0.00396242,0.25685,0.0384171,0.0146012
230,1,1,0.00540991,0.00790666,0.508532,0.0766579,0.0290563
231,1,1,0.00816881,0.0118742,0.767868,0.115125,0.0438036
232,1,1,0.00273017,0.00398027,0.256636,0.0385902,0.0145531
233,1,1,0.00271748,0.00395948,0.255443,0.0383886,0.0145281
234,1,1,0.00273056,0.00396205,0.256673,0.0384135,0.0146012
235,1,1,0.0106906,0.0157886,1.00492,0.153077,0.0581125
237,1,1,0.00813343,0.0118419,0.764542,0.114811,0.0438036
238,1,1,0.018357,0.0272065,1.72556,0.263777,0.101823
239,1,1,0.00272049,0.0039422,0.255726,0.038221,0.0143528
240,1,1,0.00795815,0.0117716,0.748066,0.11413,0.042124
241,1,1,0.0035146,0.00490257,0.330373,0.0475322,0.014684
242,1,1,0.0105493,0.0158173,0.991634,0.153355,0.0574331
243,1,1,0.00814488,0.0119372,0.765619,0.115735,0.0438874
244,1,1,0.0107674,0.0158904,1.01214,0.154063,0.0580925
245,1,1,0.00819007,0.0119144,0.769867,0.115515,0.0437987
246,1,1,0.00540996,0.00790665,0.508536,0.0766578,0.0290563
247,1,1,0.00817069,0.0119658,0.768044,0.116012,0.0441121
248,1,1,0.00266964,0.00396214,0.250946,0.0384144,0.0145729
249,1,1,0.0193427,0.0287379,1.81822,0.278624,0.101374
250,1,1,0.00812655,0.0118667,0.763895,0.115052,0.0438036
251,1,1,0.0107723,0.0158749,1.0126,0.153913,0.0578942
252,1,1,0.0210422,0.0311102,1.97796,0.301625,0.116951
253,1,1,0.0130687,0.0195705,1.22846,0.189743,0.0704783
255,1,1,0.00543808,0.00790662,0.511179,0.0766576,0.0292788
256,1,1,0.0209067,0.0311637,1.96523,0.302143,0.115884
257,1,1,0.0108119,0.0158302,1.01632,0.15348,0.0583794
258,1,1,0.00807995,0.0118543,0.759515,0.114932,0.0439336
259,1,1,0.0107406,0.015849,1.00962,0.153662,0.0580335
260,1,1,0.0133682,0.0196933,1.25661,0.190934,0.0727969
261,1,1,0.00803468,0.011903,0.75526,0.115404,0.0434324
262,1,1,0.00532606,0.00793058,0.50065,0.0768898,0.0290592
265,1,1,0.0107179,0.01587,1.00748,0.153865,0.0578664
266,1,1,0.0159004,0.0236181,1.49463,0.228986,0.086795
267,1,1,0.00798931,0.0118893,0.750995,0.115271,0.0434324
269,1,1,0.00806979,0.0119055,0.75856,0.115428,0.0434324
270,1,1,0.00266132,0.00395498,0.250165,0.0383449,0.0143863
271,1,1,0.00536986,0.00791288,0.504767,0.0767182,0.0288959
273,1,1,0.0235268,0.0349836,2.21152,0.339178,0.130537
274,1,1,0.0132742,0.0196042,1.24778,0.19007,0.0726858
276,1,1,0.00275592,0.00396645,0.259056,0.0384562,0.0146012
277,1,1,0.00275743,0.0039658,0.259198,0.0384498,0.0147186
278,1,1,0.021651,0.0323822,2.0352,0.313957,0.114208
279,1,1,0.0156803,0.0235587,1.47395,0.22841,0.086038
280,1,1,0.0207968,0.0310857,1.9549,0.301387,0.115863
281,1,1,0.00271319,0.00397585,0.25504,0.0385473,0.0144775
282,1,1,0.0134344,0.0197023,1.26283,0.191021,0.0727817
283,1,1,0.0133663,0.0197357,1.25643,0.191345,0.0727355
284,1,1,0.00809143,0.0118171,0.760594,0.114571,0.0438036
285,1,1,0.00548995,0.0079334,0.516056,0.0769172,0.0293209
287,1,1,0.0231506,0.0349439,2.17616,0.338794,0.130206
288,1,1,0.00793772,0.0118146,0.746146,0.114547,0.0423169
289,1,1,0.00272139,0.00398661,0.255811,0.0386517,0.0144609
290,1,1,0.008027,0.0118608,0.754538,0.114995,0.0436592
291,1,1,0.00529897,0.00792462,0.498103,0.076832,0.0286602
292,1,1,0.0158104,0.0234205,1.48618,0.22707,0.0872318
293,1,1,0.0167191,0.0245456,1.5716,0.237978,0.0873588
294,1,1,0.0108071,0.0158074,1.01587,0.153259,0.0586396
295,1,1,0.00534739,0.00791302,0.502655,0.0767196,0.0290056
296,1,1,0.012964,0.0194691,1.21862,0.188759,0.0727503
298,1,1,0.0134804,0.0202291,1.26716,0.196129,0.0709562
299,1,1,0.0107131,0.0157913,1.00703,0.153102,0.0581232
300,1,1,0.0133147,0.019656,1.25158,0.190572,0.0726808
301,1,1,0.00808163,0.0117872,0.759674,0.114281,0.0430584
302,1,1,0.00531065,0.00790427,0.499201,0.0766348,0.0289035
303,1,1,0.00525653,0.00793655,0.494114,0.0769477,0.0287945
304,1,1,0.0079747,0.01184,0.749621,0.114793,0.0418345
305,1,1,0.00811911,0.0119205,0.763196,0.115573,0.0438742
306,1,1,0.0105848,0.0157651,0.994975,0.152848,0.0563625
307,1,1,0.0107792,0.0158027,1.01325,0.153213,0.0580847
308,1,1,0.00547639,0.00791749,0.514781,0.0767629,0.0294373
309,1,1,0.0108109,0.0158808,1.01622,0.153971,0.058254
310,1,1,0.00265472,0.00397878,0.249544,0.0385757,0.0144529
