score_type,regime,tier,singular_index,mean_energy_fraction,n_samples
Score 1,stealthy,structural,45,0.000426364567829296,173
Score 1,stealthy,structural,46,0.00011275504948571324,173
Score 1,stealthy,structural,47,0.0008042605477385223,173
Score 1,stealthy,structural,48,0.0006305330898612738,173
Score 1,stealthy,structural,49,0.000939736666623503,173
Score 1,stealthy,structural,50,0.001388818840496242,173
Score 1,stealthy,structural,51,0.0005470084142871201,173
Score 1,stealthy,structural,52,0.013117672875523567,173
Score 1,stealthy,structural,53,7.360874587902799e-05,173
Score 1,stealthy,structural,54,0.008661896921694279,173
Score 1,stealthy,structural,55,0.01976773701608181,173
Score 1,stealthy,structural,56,9.90637272479944e-06,173
Score 1,stealthy,structural,57,0.0005964566371403635,173
Score 1,stealthy,noisy,1,0.3140392005443573,345
Score 1,stealthy,noisy,2,0.00860358215868473,345
Score 1,stealthy,noisy,3,0.06148863583803177,345
Score 1,stealthy,noisy,4,0.05329142138361931,345
Score 1,stealthy,noisy,5,0.008665273897349834,345
Score 1,stealthy,noisy,6,0.13229094445705414,345
Score 1,stealthy,noisy,7,0.01811731979250908,345
Score 1,stealthy,noisy,8,0.002491551451385021,345
Score 1,stealthy,noisy,9,0.05620601028203964,345
Score 1,stealthy,noisy,10,0.09398068487644196,345
Score 1,stealthy,noisy,11,0.009425085037946701,345
Score 1,stealthy,noisy,12,0.04799371957778931,345
Score 1,stealthy,noisy,13,0.002805458614602685,345
Score 1,stealthy,noisy,14,0.006109613459557295,345
Score 1,stealthy,noisy,15,0.0008510776096954942,345
Score 1,stealthy,noisy,16,0.001739976927638054,345
Score 1,stealthy,noisy,17,0.001193431788124144,345
Score 1,stealthy,noisy,18,0.00042809071601368487,345
Score 1,stealthy,noisy,19,0.00048591248923912644,345
Score 1,stealthy,noisy,20,0.002014064695686102,345
Score 1,stealthy,noisy,21,0.0005256428848952055,345
Score 1,stealthy,noisy,22,0.001250852132216096,345
Score 1,stealthy,noisy,23,0.01338189747184515,345
Score 1,stealthy,noisy,24,0.0030352019239217043,345
Score 1,stealthy,noisy,25,0.011414003558456898,345
Score 1,stealthy,noisy,26,0.0007940546493045986,345
Score 1,stealthy,noisy,27,0.001159625593572855,345
Score 1,stealthy,noisy,28,0.0006951707182452083,345
Score 1,stealthy,noisy,29,0.005607990548014641,345
Score 1,stealthy,noisy,30,0.000275638944003731,345
Score 1,stealthy,noisy,31,0.00043546760571189225,345
Score 1,stealthy,noisy,32,0.0015352999325841665,345
Score 1,stealthy,noisy,33,0.0023773459251970053,345
Score 1,stealthy,noisy,34,0.002052980475127697,345
Score 1,stealthy,noisy,35,0.0004928306443616748,345
Score 1,stealthy,noisy,36,0.0009307117434218526,345
Score 1,stealthy,noisy,37,0.0031859767623245716,345
Score 1,stealthy,noisy,38,0.003197907702997327,345
Score 1,stealthy,noisy,39,0.00040764204459264874,345
Score 1,stealthy,noisy,40,0.0009885027538985014,345
Score 1,stealthy,noisy,41,0.0004570570890791714,345
Score 1,stealthy,noisy,42,0.0006385398446582258,345
Score 1,stealthy,noisy,43,0.0006041997112333775,345
Score 1,stealthy,noisy,44,0.0001517533091828227,345
Score 1,stealthy,noisy,45,0.0007601246470585465,345
Score 1,stealthy,noisy,46,0.0002504654403310269,345
Score 1,stealthy,noisy,47,0.002569696633145213,345
Score 1,stealthy,noisy,48,0.0005318695330061018,345
Score 1,stealthy,noisy,49,0.0030747652053833008,345
Score 1,stealthy,noisy,50,0.004397029988467693,345
Score 1,stealthy,noisy,51,0.001280532917007804,345
Score 1,stealthy,noisy,52,0.020460570231080055,345
Score 1,stealthy,noisy,53,0.00022155643091537058,345
Score 1,stealthy,noisy,54,0.014479040168225765,345
Score 1,stealthy,noisy,55,0.07265426218509674,345
Score 1,stealthy,noisy,56,2.0539604520308785e-05,345
Score 1,stealthy,noisy,57,0.0014823307283222675,345
Score 2,aggressive,structural,1,0.16126024723052979,411
Score 2,aggressive,structural,2,0.059067245572805405,411
Score 2,aggressive,structural,3,0.005205624736845493,411
Score 2,aggressive,structural,4,0.005570556502789259,411
Score 2,aggressive,structural,5,0.013451909646391869,411
Score 2,aggressive,structural,6,0.033750198781490326,411
Score 2,aggressive,structural,7,0.006869426462799311,411
Score 2,aggressive,structural,8,0.006553029175847769,411
Score 2,aggressive,structural,9,0.17230090498924255,411
Score 2,aggressive,structural,10,0.010967586189508438,411
Score 2,aggressive,structural,11,0.01564704068005085,411
Score 2,aggressive,structural,12,0.001457011909224093,411
Score 2,aggressive,structural,13,0.01648157276213169,411
Score 2,aggressive,structural,14,0.024520277976989746,411
Score 2,aggressive,structural,15,0.0010591294849291444,411
Score 2,aggressive,structural,16,0.006324446760118008,411
Score 2,aggressive,structural,17,0.00019090402929577976,411
Score 2,aggressive,structural,18,0.017773093655705452,411
Score 2,aggressive,structural,19,0.001544092665426433,411
Score 2,aggressive,structural,20,0.008214152418076992,411
Score 2,aggressive,structural,21,0.0024154777638614178,411
Score 2,aggressive,structural,22,0.008290098048746586,411
Score 2,aggressive,structural,23,0.00270655145868659,411
Score 2,aggressive,structural,24,0.019936082884669304,411
