Attack metrics report
Dataset: taiwan_bankruptcy
Attack: pgd
epsilon=0.3

Correctly-classified originals: 2998/3410
Successfully attacked (among correct): 2998/2998
ASR (among correct): 1.0000

Changed samples among correct (any feature changed): 2998/2998
Max |delta| among correct: 0.3

Changed samples among successful attacks: 2998/2998
Max |delta| among successful attacks: 0.3

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.21554 median=0.214803 min=0.196912 max=0.257784
  RMSE : mean=0.247283 median=0.246776 min=0.234702 max=0.273735
  L1   : mean=20.2608 median=20.1915 min=18.5097 max=24.2317
  L2   : mean=2.3975 median=2.39259 min=2.27552 max=2.65396
  Linf : mean=0.3 median=0.3 min=0.3 max=0.3

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.326241 adv_mean=0.41417 mean|diff|=0.0879295 max|diff|=0.109776
  RMSE : orig_mean=0.450105 adv_mean=0.549144 mean|diff|=0.0990397 max|diff|=0.119434
  L1   : orig_mean=30.6666 adv_mean=38.932 mean|diff|=8.26537 max|diff|=10.319
  L2   : orig_mean=4.36393 adv_mean=5.32415 mean|diff|=0.960225 max|diff|=1.15796
  Linf : orig_mean=0.999071 adv_mean=1 mean|diff|=0.000929014 max|diff|=0.00943255

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.326241 adv_mean=0.41417 mean|diff|=0.0879295 max|diff|=0.109776
  RMSE : orig_mean=0.450105 adv_mean=0.549144 mean|diff|=0.0990397 max|diff|=0.119434
  L1   : orig_mean=30.6666 adv_mean=38.932 mean|diff|=8.26537 max|diff|=10.319
  L2   : orig_mean=4.36393 adv_mean=5.32415 mean|diff|=0.960225 max|diff|=1.15796
  Linf : orig_mean=0.999071 adv_mean=1 mean|diff|=0.000929014 max|diff|=0.00943255

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
220,1,1,0.21365,0.246362,20.0831,2.38857,0.3
221,1,1,0.214727,0.246369,20.1843,2.38864,0.3
222,1,1,0.217397,0.248097,20.4353,2.40539,0.3
223,1,1,0.216967,0.247772,20.3949,2.40224,0.3
224,1,1,0.216633,0.247869,20.3635,2.40318,0.3
225,1,1,0.215678,0.247669,20.2737,2.40124,0.3
226,1,1,0.208959,0.2418,19.6421,2.34433,0.3
227,1,1,0.217462,0.247544,20.4414,2.40002,0.3
228,1,1,0.250835,0.268809,23.5785,2.6062,0.3
229,1,1,0.215298,0.247186,20.238,2.39655,0.3
230,1,1,0.212366,0.245412,19.9624,2.37936,0.3
231,1,1,0.210556,0.243985,19.7922,2.36552,0.3
232,1,1,0.214572,0.246374,20.1698,2.38869,0.3
233,1,1,0.205647,0.2418,19.3308,2.34434,0.3
234,1,1,0.214256,0.24658,20.1401,2.39068,0.3
235,1,1,0.20964,0.243694,19.7062,2.3627,0.3
237,1,1,0.215496,0.247876,20.2566,2.40325,0.3
238,1,1,0.214969,0.24769,20.2071,2.40144,0.3
239,1,1,0.215233,0.247398,20.2319,2.39861,0.3
240,1,1,0.217432,0.248491,20.4386,2.40921,0.3
241,1,1,0.241055,0.263364,22.6592,2.55341,0.3
242,1,1,0.215426,0.247365,20.2501,2.39829,0.3
243,1,1,0.215552,0.247893,20.2619,2.40341,0.3
244,1,1,0.213619,0.245411,20.0802,2.37934,0.3
245,1,1,0.221655,0.250807,20.8356,2.43166,0.3
246,1,1,0.215627,0.247029,20.2689,2.39504,0.3
247,1,1,0.213192,0.246153,20.0401,2.38655,0.3
248,1,1,0.213194,0.24599,20.0402,2.38497,0.3
249,1,1,0.22068,0.250734,20.744,2.43095,0.3
250,1,1,0.213066,0.245903,20.0282,2.38412,0.3
251,1,1,0.216392,0.24693,20.3409,2.39408,0.3
252,1,1,0.213142,0.245685,20.0353,2.382,0.3
253,1,1,0.216352,0.246928,20.3371,2.39406,0.3
255,1,1,0.21416,0.246367,20.1311,2.38861,0.3
256,1,1,0.214552,0.246661,20.1679,2.39146,0.3
257,1,1,0.216835,0.247299,20.3825,2.39765,0.3
258,1,1,0.212494,0.245671,19.9744,2.38187,0.3
259,1,1,0.213105,0.245519,20.0319,2.3804,0.3
260,1,1,0.211719,0.245489,19.9016,2.38011,0.3
261,1,1,0.211108,0.244187,19.8442,2.36749,0.3
262,1,1,0.20943,0.243188,19.6864,2.3578,0.3
265,1,1,0.212326,0.244152,19.9586,2.36715,0.3
266,1,1,0.213896,0.247745,20.1062,2.40198,0.3
267,1,1,0.215313,0.247043,20.2395,2.39517,0.3
269,1,1,0.217538,0.248679,20.4486,2.41103,0.3
270,1,1,0.214253,0.245979,20.1398,2.38485,0.3
271,1,1,0.212322,0.24474,19.9583,2.37284,0.3
273,1,1,0.212261,0.245452,19.9525,2.37974,0.3
274,1,1,0.21407,0.245938,20.1226,2.38446,0.3
276,1,1,0.217886,0.248354,20.4813,2.40788,0.3
277,1,1,0.221096,0.250361,20.7831,2.42734,0.3
278,1,1,0.214777,0.24584,20.189,2.38351,0.3
279,1,1,0.211985,0.247056,19.9266,2.3953,0.3
280,1,1,0.212106,0.245368,19.938,2.37893,0.3
281,1,1,0.212144,0.244712,19.9415,2.37257,0.3
282,1,1,0.213304,0.245633,20.0505,2.3815,0.3
283,1,1,0.217481,0.248106,20.4432,2.40547,0.3
284,1,1,0.209965,0.243912,19.7367,2.36482,0.3
285,1,1,0.215933,0.247863,20.2977,2.40312,0.3
287,1,1,0.210331,0.244802,19.7711,2.37344,0.3
288,1,1,0.214817,0.246518,20.1928,2.39008,0.3
289,1,1,0.215974,0.247597,20.3015,2.40054,0.3
290,1,1,0.212937,0.246117,20.0161,2.38619,0.3
291,1,1,0.212104,0.244782,19.9378,2.37325,0.3
292,1,1,0.210045,0.243596,19.7442,2.36175,0.3
293,1,1,0.218055,0.248559,20.4971,2.40987,0.3
294,1,1,0.215494,0.246856,20.2565,2.39336,0.3
295,1,1,0.208907,0.243224,19.6373,2.35815,0.3
296,1,1,0.216645,0.24752,20.3646,2.3998,0.3
298,1,1,0.222604,0.251839,20.9248,2.44167,0.3
299,1,1,0.213249,0.246046,20.0454,2.38551,0.3
300,1,1,0.215732,0.247989,20.2788,2.40434,0.3
301,1,1,0.217696,0.248871,20.4634,2.4129,0.3
302,1,1,0.214068,0.246366,20.1224,2.3886,0.3
303,1,1,0.212402,0.244737,19.9658,2.37282,0.3
304,1,1,0.216184,0.247596,20.3213,2.40053,0.3
305,1,1,0.214005,0.246321,20.1165,2.38817,0.3
306,1,1,0.214344,0.246682,20.1484,2.39167,0.3
307,1,1,0.214963,0.24708,20.2065,2.39553,0.3
308,1,1,0.220265,0.250114,20.7049,2.42494,0.3
309,1,1,0.221182,0.250735,20.7911,2.43096,0.3
310,1,1,0.208718,0.242004,19.6195,2.34631,0.3
311,1,1,0.221711,0.250765,20.8409,2.43125,0.3
312,1,1,0.208891,0.243343,19.6358,2.3593,0.3
313,1,1,0.210113,0.243781,19.7506,2.36354,0.3
314,1,1,0.217559,0.249172,20.4505,2.41581,0.3
315,1,1,0.214494,0.247126,20.1624,2.39598,0.3
316,1,1,0.216768,0.247553,20.3762,2.40011,0.3
317,1,1,0.219108,0.249806,20.5961,2.42196,0.3
318,1,1,0.210513,0.244156,19.7882,2.36718,0.3
319,1,1,0.216066,0.24713,20.3102,2.39601,0.3
320,1,1,0.216236,0.247321,20.3262,2.39786,0.3
321,1,1,0.212416,0.245064,19.9671,2.37599,0.3
322,1,1,0.210962,0.243976,19.8304,2.36544,0.3
323,1,1,0.21262,0.24586,19.9863,2.3837,0.3
324,1,1,0.209946,0.243026,19.7349,2.35623,0.3
325,1,1,0.210617,0.244001,19.798,2.36567,0.3
326,1,1,0.214459,0.246217,20.1592,2.38716,0.3
327,1,1,0.205725,0.241028,19.3382,2.33686,0.3
328,1,1,0.215837,0.246907,20.2886,2.39386,0.3
329,1,1,0.217395,0.248932,20.4351,2.41348,0.3
330,1,1,0.21823,0.249914,20.5136,2.423,0.3
331,1,1,0.213517,0.246485,20.0706,2.38976,0.3
332,1,1,0.210344,0.243324,19.7723,2.35912,0.3
333,1,1,0.213474,0.245308,20.0666,2.37835,0.3
335,1,1,0.213158,0.246606,20.0368,2.39094,0.3
337,1,1,0.215683,0.246321,20.2742,2.38817,0.3
338,1,1,0.21169,0.245096,19.8989,2.3763,0.3
339,1,1,0.221238,0.25158,20.7963,2.43916,0.3
340,1,1,0.217092,0.248773,20.4066,2.41194,0.3
341,1,1,0.215099,0.248157,20.2193,2.40597,0.3
342,1,1,0.211386,0.243937,19.8702,2.36505,0.3
343,1,1,0.215257,0.246623,20.2342,2.39109,0.3
344,1,1,0.215538,0.246856,20.2606,2.39336,0.3
345,1,1,0.211687,0.244712,19.8986,2.37257,0.3
346,1,1,0.210599,0.244377,19.7963,2.36932,0.3
347,1,1,0.211051,0.244477,19.8388,2.37029,0.3
348,1,1,0.211087,0.244622,19.8422,2.3717,0.3
349,1,1,0.212403,0.245414,19.9659,2.37938,0.3
352,1,1,0.213908,0.245532,20.1074,2.38052,0.3
353,1,1,0.218579,0.248129,20.5464,2.4057,0.3
354,1,1,0.220854,0.252514,20.7603,2.44822,0.3
355,1,1,0.21229,0.245717,19.9553,2.38232,0.3
358,1,1,0.207496,0.241915,19.5046,2.34545,0.3
359,1,1,0.214712,0.246584,20.1829,2.39072,0.3
360,1,1,0.207224,0.242018,19.4791,2.34645,0.3
362,1,1,0.215699,0.247206,20.2757,2.39675,0.3
365,1,1,0.219545,0.249441,20.6372,2.41842,0.3
366,1,1,0.229559,0.258812,21.5785,2.50927,0.3
367,1,1,0.218871,0.249503,20.5739,2.41903,0.3
368,1,1,0.213995,0.245826,20.1155,2.38337,0.3
369,1,1,0.218341,0.248574,20.524,2.41002,0.3
370,1,1,0.216766,0.248405,20.376,2.40838,0.3
373,1,1,0.219406,0.249668,20.6242,2.42062,0.3
374,1,1,0.220236,0.249949,20.7022,2.42334,0.3
375,1,1,0.215747,0.247129,20.2802,2.39601,0.3
376,1,1,0.210647,0.243954,19.8008,2.36522,0.3
377,1,1,0.220527,0.249738,20.7295,2.4213,0.3
378,1,1,0.212229,0.244984,19.9495,2.37521,0.3
379,1,1,0.211363,0.244537,19.8681,2.37088,0.3
381,1,1,0.21707,0.248316,20.4046,2.40751,0.3
382,1,1,0.218724,0.248569,20.56,2.40996,0.3
384,1,1,0.209629,0.243992,19.7052,2.36559,0.3
385,1,1,0.211726,0.245153,19.9023,2.37684,0.3
386,1,1,0.213323,0.245002,20.0524,2.37538,0.3
387,1,1,0.212464,0.245394,19.9716,2.37918,0.3
388,1,1,0.214426,0.246219,20.1561,2.38719,0.3
389,1,1,0.219567,0.251052,20.6393,2.43404,0.3
390,1,1,0.210448,0.244356,19.7821,2.36912,0.3
391,1,1,0.209735,0.243991,19.7151,2.36558,0.3
392,1,1,0.218727,0.249162,20.5603,2.41571,0.3
393,1,1,0.215293,0.247605,20.2376,2.40062,0.3
394,1,1,0.213339,0.245662,20.0539,2.38178,0.3
395,1,1,0.225638,0.256099,21.21,2.48298,0.3
396,1,1,0.215705,0.249368,20.2763,2.41772,0.3
397,1,1,0.214627,0.246229,20.1749,2.38727,0.3
398,1,1,0.210582,0.24321,19.7947,2.35801,0.3
399,1,1,0.209948,0.243545,19.7351,2.36126,0.3
400,1,1,0.210422,0.244832,19.7797,2.37373,0.3
402,1,1,0.209285,0.24338,19.6728,2.35966,0.3
404,1,1,0.2187,0.250136,20.5578,2.42516,0.3
405,1,1,0.210811,0.243021,19.8162,2.35618,0.3
406,1,1,0.218763,0.251233,20.5637,2.43579,0.3
407,1,1,0.215256,0.248097,20.234,2.40539,0.3
